"Statistic Label","Year","Type of Ownership","Region","UNIT","VALUE"
"Total Sales of Goods Produced and Services Provided","2011","Irish ownership","Border","Euro Million","3129"
"Total Sales of Goods Produced and Services Provided","2011","Irish ownership","West","Euro Million","1256"
"Total Sales of Goods Produced and Services Provided","2011","Irish ownership","Mid West","Euro Million","1475"
"Total Sales of Goods Produced and Services Provided","2011","Irish ownership","South East","Euro Million","3080"
"Total Sales of Goods Produced and Services Provided","2011","Irish ownership","South West","Euro Million","3045"
"Total Sales of Goods Produced and Services Provided","2011","Irish ownership","Dublin","Euro Million","5195"
"Total Sales of Goods Produced and Services Provided","2011","Irish ownership","Mid East","Euro Million","2819"
"Total Sales of Goods Produced and Services Provided","2011","Irish ownership","Midlands","Euro Million","1140"
"Total Sales of Goods Produced and Services Provided","2011","Foreign ownership","Ireland","Euro Million","70620"
"Total Sales of Goods Produced and Services Provided","2011","Foreign ownership","Border","Euro Million","2255"
"Total Sales of Goods Produced and Services Provided","2011","Foreign ownership","West","Euro Million","4008"
"Total Sales of Goods Produced and Services Provided","2011","Foreign ownership","Mid West","Euro Million","8343"
"Total Sales of Goods Produced and Services Provided","2011","Foreign ownership","South East","Euro Million","2726"
"Total Sales of Goods Produced and Services Provided","2011","Foreign ownership","South West","Euro Million","27003"
"Total Sales of Goods Produced and Services Provided","2011","Foreign ownership","Dublin","Euro Million","22296"
"Total Sales of Goods Produced and Services Provided","2011","Foreign ownership","Mid East","Euro Million","3012"
"Total Sales of Goods Produced and Services Provided","2011","Foreign ownership","Midlands","Euro Million","977"
"Total Sales of Goods Produced and Services Provided","2012","All Enterprise ownership","Ireland","Euro Million","93846"
"Total Sales of Goods Produced and Services Provided","2012","All Enterprise ownership","Border","Euro Million","4739"
"Total Sales of Goods Produced and Services Provided","2012","All Enterprise ownership","West","Euro Million","5722"
"Total Sales of Goods Produced and Services Provided","2012","All Enterprise ownership","Mid West","Euro Million","10697"
"Total Sales of Goods Produced and Services Provided","2012","All Enterprise ownership","South East","Euro Million","6178"
"Total Sales of Goods Produced and Services Provided","2012","All Enterprise ownership","South West","Euro Million","27617"
"Total Sales of Goods Produced and Services Provided","2012","All Enterprise ownership","Dublin","Euro Million","30610"
"Total Sales of Goods Produced and Services Provided","2012","All Enterprise ownership","Mid East","Euro Million","6152"
"Total Sales of Goods Produced and Services Provided","2012","All Enterprise ownership","Midlands","Euro Million","2133"
"Total Sales of Goods Produced and Services Provided","2012","Irish ownership","Ireland","Euro Million","21093"
"Total Sales of Goods Produced and Services Provided","2012","Irish ownership","Border","Euro Million","2516"
"Total Sales of Goods Produced and Services Provided","2012","Irish ownership","West","Euro Million","1425"
"Total Sales of Goods Produced and Services Provided","2012","Irish ownership","Mid West","Euro Million","1563"
"Total Sales of Goods Produced and Services Provided","2012","Irish ownership","South East","Euro Million","3203"
"Total Sales of Goods Produced and Services Provided","2012","Irish ownership","South West","Euro Million","3086"
"Total Sales of Goods Produced and Services Provided","2012","Irish ownership","Dublin","Euro Million","5071"
"Total Sales of Goods Produced and Services Provided","2012","Irish ownership","Mid East","Euro Million","3082"
"Total Sales of Goods Produced and Services Provided","2012","Irish ownership","Midlands","Euro Million","1147"
"Total Sales of Goods Produced and Services Provided","2012","Foreign ownership","Ireland","Euro Million","72753"
"Total Sales of Goods Produced and Services Provided","2012","Foreign ownership","Border","Euro Million","2223"
"Total Sales of Goods Produced and Services Provided","2012","Foreign ownership","West","Euro Million","4297"
"Total Sales of Goods Produced and Services Provided","2012","Foreign ownership","Mid West","Euro Million","9134"
"Total Sales of Goods Produced and Services Provided","2012","Foreign ownership","South East","Euro Million","2974"
"Total Sales of Goods Produced and Services Provided","2012","Foreign ownership","South West","Euro Million","24531"
"Total Sales of Goods Produced and Services Provided","2012","Foreign ownership","Dublin","Euro Million","25538"
"Total Sales of Goods Produced and Services Provided","2012","Foreign ownership","Mid East","Euro Million","3070"
"Total Sales of Goods Produced and Services Provided","2012","Foreign ownership","Midlands","Euro Million","986"
"Total Sales of Goods Produced and Services Provided","2013","All Enterprise ownership","Ireland","Euro Million","92822"
"Total Sales of Goods Produced and Services Provided","2013","All Enterprise ownership","Border","Euro Million","4917"
"Total Sales of Goods Produced and Services Provided","2013","All Enterprise ownership","West","Euro Million","5707"
"Total Sales of Goods Produced and Services Provided","2013","All Enterprise ownership","Mid West","Euro Million","8554"
"Total Sales of Goods Produced and Services Provided","2013","All Enterprise ownership","South East","Euro Million","6338"
"Total Sales of Goods Produced and Services Provided","2013","All Enterprise ownership","South West","Euro Million","25345"
"Total Sales of Goods Produced and Services Provided","2013","All Enterprise ownership","Dublin","Euro Million","32809"
"Total Sales of Goods Produced and Services Provided","2013","All Enterprise ownership","Mid East","Euro Million","6579"
"Total Sales of Goods Produced and Services Provided","2013","All Enterprise ownership","Midlands","Euro Million","2574"
"Total Sales of Goods Produced and Services Provided","2013","Irish ownership","Ireland","Euro Million","23287"
"Total Sales of Goods Produced and Services Provided","2013","Irish ownership","Border","Euro Million","2731"
"Total Sales of Goods Produced and Services Provided","2013","Irish ownership","West","Euro Million","1426"
"Total Sales of Goods Produced and Services Provided","2013","Irish ownership","Mid West","Euro Million","1747"
"Total Sales of Goods Produced and Services Provided","2013","Irish ownership","South East","Euro Million","3434"
"Total Sales of Goods Produced and Services Provided","2013","Irish ownership","South West","Euro Million","3613"
"Total Sales of Goods Produced and Services Provided","2013","Irish ownership","Dublin","Euro Million","5704"
"Total Sales of Goods Produced and Services Provided","2013","Irish ownership","Mid East","Euro Million","3306"
"Total Sales of Goods Produced and Services Provided","2013","Irish ownership","Midlands","Euro Million","1325"
"Total Sales of Goods Produced and Services Provided","2013","Foreign ownership","Ireland","Euro Million","69535"
"Total Sales of Goods Produced and Services Provided","2013","Foreign ownership","Border","Euro Million","2186"
"Total Sales of Goods Produced and Services Provided","2013","Foreign ownership","West","Euro Million","4281"
"Total Sales of Goods Produced and Services Provided","2013","Foreign ownership","Mid West","Euro Million","6807"
"Total Sales of Goods Produced and Services Provided","2013","Foreign ownership","South East","Euro Million","2904"
"Total Sales of Goods Produced and Services Provided","2013","Foreign ownership","South West","Euro Million","21732"
"Total Sales of Goods Produced and Services Provided","2013","Foreign ownership","Dublin","Euro Million","27105"
"Total Sales of Goods Produced and Services Provided","2013","Foreign ownership","Mid East","Euro Million","3272"
"Total Sales of Goods Produced and Services Provided","2013","Foreign ownership","Midlands","Euro Million","1248"
"Total Sales of Goods Produced and Services Provided","2014","All Enterprise ownership","Ireland","Euro Million","145074"
"Total Sales of Goods Produced and Services Provided","2014","All Enterprise ownership","Border","Euro Million","5588"
"Total Sales of Goods Produced and Services Provided","2014","All Enterprise ownership","West","Euro Million","8126"
"Total Sales of Goods Produced and Services Provided","2014","All Enterprise ownership","Mid West","Euro Million","10267"
"Total Sales of Goods Produced and Services Provided","2014","All Enterprise ownership","South East","Euro Million","7565"
"Total Sales of Goods Produced and Services Provided","2014","All Enterprise ownership","South West","Euro Million","37843"
"Total Sales of Goods Produced and Services Provided","2014","All Enterprise ownership","Dublin","Euro Million","63498"
"Total Sales of Goods Produced and Services Provided","2014","All Enterprise ownership","Mid East","Euro Million","8726"
